#{"t_start": 1754198174.1513555, "env_id": "None"}
r,l,t
71.99982,288,291.474675
79.30771,299,291.668969
55.38243,197,291.786417
67.12531,243,291.912577
82.84777,299,292.062279
72.02683,242,292.19893
76.5306,299,292.380939
40.038437,159,292.472126
102.291626,299,293.577301
69.84999,256,293.718736
51.99033,168,293.818818
135.08192,299,293.991646
84.68828,299,294.161115
67.24952,269,294.306935
76.08232,299,294.462979
66.8649,237,294.597249
72.45276,299,295.684252
68.638405,299,295.855533
82.99298,299,296.011591
81.09234,268,296.15959
75.14547,299,296.330913
49.279995,175,296.419435
59.02164,228,296.538772
79.52617,299,296.693321
89.826,299,297.747457
86.7355,285,297.905777
95.09179,299,298.063761
78.275345,299,298.217889
79.93687,299,298.375323
62.00585,223,298.489361
98.00077,299,300.134668
119.86416,299,301.159327
101.78463,299,301.308213
69.84766,224,301.429734
77.527664,255,301.565331
97.03147,299,301.728703
61.461628,242,301.854125
48.59919,183,301.946501
101.97894,299,302.106638
74.497986,275,303.163881
86.34346,299,303.322482
67.91989,293,303.470992
75.18441,299,303.627468
87.39288,299,303.789443
95.93539,299,303.953174
84.96898,299,304.122805
102.53992,299,305.254755
92.68594,299,305.410383
61.139492,223,305.52543
56.766045,267,305.660779
80.906166,299,305.826065
54.014595,221,305.944412
54.915478,172,306.045677
80.20145,299,307.174814
91.31483,299,307.33445
71.03115,299,307.496709
91.90844,299,307.645145
96.083305,299,307.803096
87.78502,299,307.962282
90.41993,299,308.140236
95.1094,299,309.30678
87.118935,299,309.461484
68.3369,265,309.602678
66.73868,272,309.743189
70.86677,299,309.907037
77.92003,299,311.289439
55.937122,220,311.425036
114.16299,299,311.585231
50.843014,264,312.586522
68.63516,254,312.736863
76.06706,244,312.880278
83.896706,292,313.032083
107.02144,299,313.187478
93.74456,299,313.356105
26.446413,105,313.414764
74.86469,263,313.5983
93.63328,299,314.758348
65.166534,214,314.873456
80.97743,299,315.019347
27.451195,107,315.071163
73.47875,252,315.217095
99.46007,299,315.380471
104.217285,299,315.538467
63.19015,216,315.646776
79.87302,299,316.71521
69.07444,299,316.875305
96.05443,299,317.017886
75.11368,299,317.170147
53.52486,222,317.288263
