#{"t_start": 1754808863.7766008, "env_id": "None"}
r,l,t
285.64853,299,667.441887
283.10245,299,667.747326
274.7035,299,669.234799
278.26605,299,669.530283
273.53256,299,669.819033
277.20395,299,670.111245
286.89923,299,670.362295
276.05786,299,670.642821
287.0297,299,670.914145
275.7647,299,672.328307
282.86047,299,672.626979
278.95523,299,672.90317
282.12466,299,673.199838
285.227,299,674.983475
279.04807,299,675.284217
285.48444,299,675.591604
281.59756,299,677.050973
278.5012,299,677.353508
283.88147,299,677.649371
284.40637,299,677.965747
279.37433,299,678.264436
284.61826,299,678.572134
280.43402,299,680.083055
284.98727,299,680.384819
279.89804,299,680.68559
274.87567,299,680.988217
275.57062,299,681.28295
283.25745,299,681.572542
283.07657,299,681.869902
286.92307,299,683.356368
284.38757,299,683.669953
281.47452,299,683.976983
284.91876,299,684.312413
278.1113,299,684.626352
273.97653,299,685.006485
271.49582,299,685.335105
273.26596,299,686.758239
284.1381,299,687.067327
287.44827,299,687.392815
271.31525,299,687.692214
284.0487,299,688.01132
283.3065,299,688.309944
287.35284,299,688.617241
283.2785,299,690.144946
269.6973,299,690.473793
282.71094,299,690.755618
273.0818,299,691.046574
282.13644,299,691.38967
276.80975,299,691.679213
276.48566,299,691.983983
276.21738,299,693.58479
285.05374,299,693.923634
274.70703,299,694.247559
271.79797,299,694.5664
285.87296,299,694.894163
282.7282,299,695.206537
282.1173,299,695.502293
272.06796,299,696.944333
273.5241,299,697.226269
281.8084,299,697.514699
272.0627,299,697.893833
283.59863,299,698.220229
275.16605,299,698.504899
277.62897,299,698.810104
287.26727,299,700.343199
284.47144,299,700.65167
269.01114,299,700.941909
277.32803,299,701.245307
280.22778,299,701.571623
282.26935,299,701.910834
282.82236,299,703.406089
284.65268,299,703.716913
288.7248,299,704.026485
286.11627,299,704.337331
276.51453,299,704.640784
273.58398,299,704.919441
282.14517,299,705.212099
284.66788,299,706.712208
280.92355,299,706.992424
282.30817,299,707.320533
280.85516,299,708.984775
274.2526,299,709.270949
275.81973,299,709.563107
284.8392,299,709.859995
287.60602,299,711.384817
283.56525,299,711.707808
284.2936,299,711.998398
272.45908,299,712.349453
269.59595,299,712.642563
207.2054,299,712.934027
282.5617,299,713.21968
287.24078,299,714.663522
288.39572,299,714.985915
273.5317,299,715.305559
271.15625,299,715.581511
282.434,299,715.900381
282.79337,299,716.176363
282.97455,299,716.461151
281.65848,299,717.895938
285.49664,299,718.22516
278.88132,299,718.551351
271.64563,299,718.87287
287.1127,299,719.177249
283.874,299,719.501583
282.935,299,719.787067
282.24478,299,721.354685
282.78342,299,721.655609
280.05627,299,721.987322
283.11325,299,722.296824
287.56644,299,722.607011
280.0998,299,722.938947
278.80316,299,724.40311
280.04373,299,724.721184
274.65872,299,725.058429
284.70767,299,725.369136
288.5015,299,725.655622
274.19394,299,725.956508
285.67233,299,726.257716
279.42035,299,727.725679
284.35892,299,728.028349
280.01547,299,728.339173
284.38995,299,728.663639
279.33218,299,729.028979
284.7376,299,729.424028
269.57047,299,729.754534
270.8492,299,731.382787
274.23163,299,731.673789
284.9069,299,731.982155
280.61255,299,732.265765
286.913,299,732.558698
276.04837,299,732.858627
273.7342,299,733.133549
275.46057,299,734.621829
283.36395,299,734.917694
283.1666,299,735.191925
286.5386,299,735.521446
270.49036,299,735.821557
287.83716,299,736.137506
270.47794,299,736.428581
286.2504,299,737.896036
287.00345,299,738.246062
285.0528,299,738.587826
272.55035,299,738.903492
287.27457,299,739.182405
287.78955,299,739.525709
286.48254,299,739.82999
281.80057,299,741.342017
282.92352,299,743.061263
276.00024,299,743.367857
284.06308,299,743.675723
282.97845,299,743.998493
276.60977,299,744.337997
286.45786,299,744.640418
283.1971,299,746.180762
278.29285,299,746.488803
276.32962,299,746.799056
